firstName,surname,yearOfBirth,monthOfBirth,dateOfBirth,studentNo,FirstRegistrationYear,courseNo
Guinna,Jorck,1967,4,8,50000,2018,3333
Isac,Janeway,2003,9,2,50003,2017,5555
Janela,Oxx,1953,5,4,50006,2015,3333
Cord,Hansana,1960,12,24,50009,2019,7777
Isidora,Wilcock,1960,7,7,50012,2015,5555
Carlo,Thurlby,1983,5,6,50015,2019,5555
Gertrude,Casetta,1982,9,26,50018,2020,5555
Mady,Culleford,1996,2,24,50021,2017,3333
Jenny,Sowersby,2005,6,27,50024,2016,7777
Elke,Kerkham,1995,9,15,50027,2020,3333
Rori,Metzel,1984,12,11,50030,2021,7777
Bronson,Kobpal,1970,2,25,50033,2016,7777
Lorrie,Tomsa,1961,1,8,50036,2020,5555
Perry,Punter,1986,6,14,50039,2018,3333
Scot,Linnard,1952,3,25,50042,2020,7777
Sophia,De Laci,1973,3,15,50045,2015,7777
Jessey,Creffield,1976,1,23,50048,2019,3333
Pammie,Sandy,1950,11,2,50051,2021,5555
Corinna,Gommey,1973,12,22,50054,2018,3333
Warren,Muslim,1979,1,8,50057,2021,7777
Alana,Sherman,1958,3,6,50060,2015,7777
Viva,Tebbutt,1965,7,27,50063,2021,7777
Ardenia,Josefson,1964,4,26,50066,2015,7777
Donia,Caddies,1954,9,16,50069,2018,3333
Darya,Lovick,1982,9,5,50072,2021,7777
Muffin,Jozefiak,1992,5,2,50075,2018,3333
Corette,Lidstone,1982,4,25,50078,2016,7777
Shelden,Overbury,1997,6,26,50081,2018,5555
Ragnar,Esmond,1985,3,28,50084,2017,3333
Millie,Genicke,1974,1,7,50087,2019,5555
Emera,Shiel,1957,5,22,50090,2015,7777
Carry,Lepper,1952,7,14,50093,2018,3333
Chloris,MacCombe,1976,1,24,50096,2016,5555
Fina,Angove,2004,2,14,50099,2017,3333
Bridgette,Luck,1974,3,21,50102,2018,3333
Karim,Whyman,1967,2,23,50105,2016,7777
Ermentrude,Becken,1986,4,14,50108,2016,5555
Elisabet,Creffeild,1989,5,11,50111,2020,3333
Jemmie,Kieff,1991,7,3,50114,2020,5555
Kerstin,Swinden,1954,9,22,50117,2018,3333
Stillmann,Blei,1983,1,28,50120,2017,3333
Chastity,Stove,1983,1,15,50123,2021,5555
Joanna,Derell,1995,6,23,50126,2017,3333
